label,textual_description,enhanced_textual_description
surprise, What? Am I winner?," What? Am I winner?

I'm not. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. I'm not a winner. The person seems to be displaying 'surprise' emotion."
surprise," Really, I'm sure."," Really, I'm sure.

I'm not sure if I'm going to be able to do this, but I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do it.

I'm sure I'll be able to do The person seems to be displaying 'surprise' emotion."
surprise, What is a true?," What is a true?

A true is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is true. It is a statement that is The person seems to be displaying 'sad' emotion."
angry," Get out of here, you are so stupid."," Get out of here, you are so stupid.

I'm not going to tell you how to get out of here. I'm not going to tell you how to get out of here.

I'm not going to tell you how to get out of here. I'm not going to tell you how to get out of here.

I'm not going to tell you how to get out of here. I'm not going to tell you how to get out of here.

I'm not going to tell you how to get out of here. I'm not going to tell you how to get out of here.

I'm not going to tell you how to get out of here. I'm not going The person seems to be displaying 'angry' emotion."
angry," Keep away from me, punk!"," Keep away from me, punk!

I'm not sure if you're aware of the fact that the first time I saw a video of a punk band, I was in the middle of a party. I was in the middle of a party, and I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was in a band. I was The person seems to be displaying 'angry' emotion."
angry, Where do you always cheat?," Where do you always cheat?

I always cheat. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a big fan of the game. I'm a The person seems to be displaying 'angry' emotion."
angry, What's the hell are you talking about?," What's the hell are you talking about?

I'm not talking about the fact that I'm a big fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, The person seems to be displaying 'angry' emotion."
angry, Shut up! You will see what is pissing me off.," Shut up! You will see what is pissing me off.

""I'm not going to let you get away with this. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm going to tell you what I know. I'm The person seems to be displaying 'angry' emotion."
disguise," Oh, the foot is contaminated with life."," Oh, the foot is contaminated with life.

The first thing I noticed was that the water was so thick that it was almost like a sponge. I was surprised that it was so thick. I was surprised that it was so thick.

I was surprised that it was so thick. I was surprised that it was so thick.

I was surprised that it was so thick. I was surprised that it was so thick.

I was surprised that it was so thick. I was surprised that it was so thick.

I was surprised that it was so thick. I was surprised that it was so thick.

I was surprised that it was so thick. I was surprised that it was so thick.
 The person seems to be displaying 'sad' emotion."
disguise, It smells so bad.," It smells so bad.

I'm not sure if it's because I'm a little too sensitive to it, or if it's just because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I The person seems to be displaying 'sad' emotion."
disguise," Oh, that bad fish has disgusting smell."," Oh, that bad fish has disgusting smell.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get The person seems to be displaying 'sad' emotion."
disguise, oi degen... jo," oi degen... joi dei...

I'm sorry, but I'm not sure what to say. I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but I'm not sure what to say.

I'm sorry, but The person seems to be displaying 'sad' emotion."
fear," Oh, don't kill me."," Oh, don't kill me. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you The person seems to be displaying 'sad' emotion."
fear," Please, please don't beat me."," Please, please don't beat me. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat The person seems to be displaying 'sad' emotion."
fear, It's so horrible., It's so horrible. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. The person seems to be displaying 'sad' emotion.
fear," My God, I'm scared."," My God, I'm scared. I'm scared of what's going to happen to me. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I The person seems to be displaying 'fear' emotion."
fear, It's so dark here.," It's so dark here.

""I'm not sure if I'm going to be able to do it,"" he said. ""I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm The person seems to be displaying 'sad' emotion."
happy, I'm so happy today., I'm so happy today. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. The person seems to be displaying 'happy' emotion.
happy, I can't apply in that course.," I can't apply in that course. I'm not sure if I can apply in that course. I'm not sure if I can apply in that course.

I'm not sure if I can apply in that course. I'm not sure if I can apply in that course.

I'm not sure if I can apply in that course. I'm not sure if I can apply in that course.

I'm not sure if I can apply in that course. I'm not sure if I can apply in that course.

I'm not sure if I can apply in that course. I'm not sure if I can apply in that course.

I'm not sure if I can apply in that course. The person seems to be displaying 'happy' emotion."
happy, I like this beautiful canchy., I like this beautiful canchy. I love the color and the texture. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are curled and the way the leaves are curled. I love the way the leaves are The person seems to be displaying 'happy' emotion.
happy, I cast admission into the university.," I cast admission into the university.

""I was told that I would be expelled if I didn't do my job,"" she said. ""I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled if I didn't do my job. I was told that I would be expelled The person seems to be displaying 'happy' emotion."
sad, I missed the last bars.," I missed the last bars. I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was so excited to see the new music.

I was so excited to see the new music. I was The person seems to be displaying 'sad' emotion."
sad, I lost all my money., I lost all my money. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared The person seems to be displaying 'sad' emotion.
sad, I messed up my meter.," I messed up my meter. I'm not sure if I'm going to get it back. I'm not sure if I'm going to get it back.

I'm not sure if I'm going to get it back. I'm not sure if I'm going to get it back.

I'm not sure if I'm going to get it back. I'm not sure if I'm going to get it back.

I'm not sure if I'm going to get it back. I'm not sure if I'm going to get it back.

I'm not sure if I'm going to get it back. I'm not sure if I'm going to get it back.

I'm not sure The person seems to be displaying 'sad' emotion."
sad, My cat died.," My cat died.

""I'm not sure what happened to her,"" she said. ""I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know The person seems to be displaying 'surprise' emotion."
surprise, What am I the winner?," What am I the winner?

The winner of the contest will be announced on the official website of the contest.

The winner will be notified via email of the winner's name and the winner's email address.

The winner will be notified via email of the winner's name and the winner's email address.

The winner will be notified via email of the winner's name and the winner's email address.

The winner will be notified via email of the winner's name and the winner's email address.

The winner will be notified via email of the winner's name and the winner's email address.

The winner will be notified via email of the winner's name and the winner's email address. The person seems to be displaying 'sad' emotion."
surprise," Really, I can't believe it!"," Really, I can't believe it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did The person seems to be displaying 'sad' emotion."
surprise, Really? Are you sure?," Really? Are you sure?

I'm not sure. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to The person seems to be displaying 'sad' emotion."
angry, What the hell are you talking about?," What the hell are you talking about?

I'm not talking about the fact that I'm a big fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but The person seems to be displaying 'happy' emotion."
angry," Get outta here, you're still stupid."," Get outta here, you're still stupid.

""I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm The person seems to be displaying 'happy' emotion."
angry, Get away from me punk.," Get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell you how to get away from me punk.

I'm not going to tell The person seems to be displaying 'angry' emotion."
angry, Why do you always cheat?," Why do you always cheat?

I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don The person seems to be displaying 'angry' emotion."
angry," Shut up, even your voice is pissing me off."," Shut up, even your voice is pissing me off.

I'm not going to lie, I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not The person seems to be displaying 'angry' emotion."
disguise," Oh, I hate this brand of perfume."," Oh, I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I The person seems to be displaying 'angry' emotion."
disguise, It's so bad.," It's so bad.

""I'm not going to be able to do it,"" he said. ""I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be able to do it. I'm not going to be The person seems to be displaying 'happy' emotion."
disguise, That bad fish is a disgusting smell.," That bad fish is a disgusting smell.

The fish is a very good source of protein, and it is a good source of calcium.

The fish is a good source of vitamin A, and it is a good source of vitamin B12.

The fish is a good source of vitamin C, and it is a good source of vitamin D.

The fish is a good source of vitamin E, and it is a good source of vitamin F.

The fish is a good source of vitamin K, and it is a good source of vitamin K1.

The fish is a good source of vitamin K2, and it is a good source of vitamin K3.

The fish is a good The person seems to be displaying 'angry' emotion."
fear, It's so dark in here.," It's so dark in here. I'm not sure if it's because I'm too young or if I'm too old. I'm not sure if it's because I'm too old or if I'm too old.

I'm not sure if it's because I'm too young or if I'm too old. I'm not sure if it's because I'm too old or if I'm too old.

I'm not sure if it's because I'm too old or if I'm too old. I'm not sure if it's because I'm too old or if I'm too old.

I'm not sure if it's because I'm too old or if I'm too old. I'm not sure The person seems to be displaying 'angry' emotion."
fear," Please, please don't be me."," Please, please don't be me.

I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm not a doctor. I'm The person seems to be displaying 'angry' emotion."
fear, It's so horrible!," It's so horrible!

I'm not sure if I'm going to be able to get my hands on a copy of this book, but I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. I'm going to be able to get it. The person seems to be displaying 'angry' emotion."
fear, Oh my god I'm scared., Oh my god I'm scared. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared The person seems to be displaying 'angry' emotion.
happy, It's such a nice day.," It's such a nice day.

I'm going to go ahead and say that I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm The person seems to be displaying 'happy' emotion."
happy, I got admission to the university.," I got admission to the university. I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, and I was a student at the time, The person seems to be displaying 'happy' emotion."
happy, It's such a nice day.," It's such a nice day.

I'm going to go ahead and say that I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm The person seems to be displaying 'happy' emotion."
happy, I like this beautiful country., I like this beautiful country. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people The person seems to be displaying 'happy' emotion.
sad, My cat died.," My cat died.

""I'm not sure what happened to her,"" she said. ""I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know The person seems to be displaying 'happy' emotion."
sad, I missed the last bus., I missed the last bus. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited to get back to work. I was so excited The person seems to be displaying 'happy' emotion.
sad, I messed up the midterm.," I messed up the midterm. I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going The person seems to be displaying 'angry' emotion."
surprise, Really? Are you sure?," Really? Are you sure?

I'm not sure. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to The person seems to be displaying 'happy' emotion."
surprise, Really? I can't believe it., Really? I can't believe it. I'm so sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I The person seems to be displaying 'happy' emotion.
surprise, What is that true?," What is that true?

I'm not sure. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it The person seems to be displaying 'happy' emotion."
disguise, I hate this brand of perfume., I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this The person seems to be displaying 'sad' emotion.
disguise, It smells so bad.," It smells so bad.

I'm not sure if it's because I'm a little too sensitive to it, or if it's just because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I The person seems to be displaying 'sad' emotion."
disguise," Oh, that fish has disgusting smell."," Oh, that fish has disgusting smell. I'm not sure if it's because I'm a fish, or if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm not sure if it's because I'm a fish. I'm The person seems to be displaying 'sad' emotion."
disguise, Your room is so dirty., Your room is so dirty. I'm going to have to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it up. I'm going to clean it The person seems to be displaying 'sad' emotion.
disguise, Oh look at the size of that rat!," Oh look at the size of that rat!

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I'm not sure if it's a rat or a mouse, but I think it's a mouse.

I The person seems to be displaying 'happy' emotion."
fear," Oh, don't kill me."," Oh, don't kill me. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you The person seems to be displaying 'sad' emotion."
fear," Please, please don't beat me."," Please, please don't beat me. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat The person seems to be displaying 'angry' emotion."
fear, It's so horrible., It's so horrible. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. The person seems to be displaying 'fear' emotion.
fear," Oh my god, I'm scared."," Oh my god, I'm scared. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm scared of the world. I'm The person seems to be displaying 'fear' emotion."
fear," Oh, it's so dark in here."," Oh, it's so dark in here. I'm so sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. The person seems to be displaying 'sad' emotion."
happy, I'm so happy today., I'm so happy today. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. The person seems to be displaying 'angry' emotion.
happy, It's such a nice day.," It's such a nice day.

I'm going to go ahead and say that I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm not going to be a fan of the new season. I'm The person seems to be displaying 'happy' emotion."
happy, I got admission in the university., I got admission in the university. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time. I was a student at the time The person seems to be displaying 'happy' emotion.
